"raceId","driverId","circuitId","grid","finishingPosition","points","laps","raceDuration","rank","fastestLapSpeed","altitude","averagePitstopDuration","averageLapDuration","fastestLapDuration"
841,20,1,1,"1",25,58,"5370259","4","212.488",10,23319.5,92590.6724137931,89844
841,1,1,2,"2",18,58,"5392556","8","211.382",10,23213,92975.1034482759,90314
841,808,1,6,"3",15,58,"5400819","7","211.969",10,25109,93117.5689655172,90064
841,4,1,5,"4",12,58,"5402031","2","213.336",10,24055,93138.4655172414,89487
841,17,1,3,"5",10,58,"5408430","3","213.066",10,24058.6666666667,93248.7931034483,89600
841,18,1,4,"6",8,58,"5424563","5","212.396",10,20950.3333333333,93526.9482758621,89883
841,13,1,8,"7",6,58,"5455445","1","214.631",10,24145.6666666667,94059.3965517241,88947
842,20,2,1,"1",25,56,"5859832","6","196.523",18,22408.3333333333,104639.857142857,101539
842,18,2,4,"2",18,56,"5863093","4","197.057",18,22451.3333333333,104698.089285714,101264
842,2,2,6,"3",15,56,"5884907","7","196.508",18,23241,105087.625,101547
842,17,2,3,"4",12,56,"5886216","1","198.415",18,22198.25,105111,100571
842,13,2,7,"5",10,56,"5896790","9","195.637",18,24886,105299.821428571,101999
842,4,2,5,"6",8,56,"5897080","2","198.127",18,24510,105305,100717
842,155,2,10,"7",6,56,"5926271","10","195.453",18,23361,105826.267857143,102095
842,1,2,2,"8",4,56,"5929789","5","196.575",18,23252.75,105531.946428571,101512
842,30,2,11,"9",2,56,"5944728","11","194.698",18,22354.6666666667,106155.857142857,102491
842,814,2,14,"10",1,56,"5951395","13","193.956",18,23056.3333333333,106274.910714286,102883
843,1,17,3,"1",25,56,"5818226","2","195.424",5,20659.3333333333,103896.892857143,100415
843,20,17,1,"2",18,56,"5823424","8","193.677",5,21764,103989.714285714,101321
843,17,17,18,"3",15,56,"5825781","1","198.232",5,21888.3333333333,104031.803571429,98993
843,18,17,2,"4",12,56,"5828226","3","195.021",5,21924.6666666667,104075.464285714,100623
843,3,17,4,"5",10,56,"5831674","5","193.974",5,21165.3333333333,104137.035714286,101166
843,13,17,6,"6",8,56,"5834066","10","192.997",5,21396,104179.75,101678
843,4,17,5,"7",6,56,"5848848","15","192.256",5,21887.5,104443.714285714,102070
843,30,17,14,"8",4,56,"5849252","6","193.880",5,21295.3333333333,104450.928571429,101215
843,808,17,10,"9",2,56,"5875630","7","193.792",5,21993,104921.964285714,101261
843,155,17,13,"10",1,56,"5881499","17","191.306",5,21895.5,105026.767857143,102577
843,814,17,8,"11",0,56,"5886983","18","191.237",5,21603.5,105124.696428571,102614
843,2,17,16,"12",0,56,"5890965","16","191.625",5,22018.5,105195.803571429,102406
843,22,17,15,"13",0,56,"5908415","13","192.329",5,21595,105507.410714286,102031
843,67,17,9,"14",0,56,"5908897","11","192.963",5,22886.6666666667,105516.017857143,101696
844,20,5,1,"1",25,58,"5417558","3","213.669",130,20402.25,93406.1724137931,89937
844,17,5,2,"2",18,58,"5426365","1","214.226",130,21100.25,93558.0172413793,89703
844,4,5,5,"3",15,58,"5427633","6","212.860",130,21530.25,93579.8793103448,90279
844,1,5,4,"4",12,58,"5457790","4","213.264",130,24909.25,94099.8275862069,90108
844,3,5,3,"5",10,58,"5465097","7","212.169",130,21189.25,94225.8103448276,90573
844,18,5,6,"6",8,58,"5476989","13","210.786",130,21808,94430.8448275862,91167
844,2,5,9,"7",6,58,"5478415","5","213.145",130,21743.75,94455.4310344828,90158
844,808,5,7,"8",4,58,"5485726","8","212.063",130,21561.25,94581.4827586207,90618
844,67,5,16,"9",2,58,"5486952","14","210.341",130,21976.3333333333,94602.6206896552,91360
844,155,5,24,"10",1,58,"5495579","10","211.085",130,22577,94751.3620689655,91038
844,13,5,10,"11",0,58,"5497381","11","210.900",130,23375,94782.4310344828,91118
844,30,5,8,"12",0,58,"5503002","12","210.819",130,23016.25,94879.3448275862,91153
845,20,4,2,"1",25,66,"5943301","4","192.262",109,20214.5,90050.0151515152,87162
845,1,4,3,"2",18,66,"5943931","1","193.227",109,20364.25,90059.5606060606,86727
845,18,4,5,"3",15,66,"5978998","7","191.480",109,20295,90590.8787878788,87518
845,17,4,1,"4",12,66,"5991267","5","192.207",109,20305.75,90776.7727272727,87187
846,20,6,1,"1",25,78,"7778373","2","157.656",7,28536,99722.7307692308,76267
846,4,6,4,"2",18,78,"7779511","4","157.236",7,28367,99737.3205128205,76471
846,18,6,2,"3",15,78,"7780751","3","157.252",7,25457,99753.217948718,76463
846,17,6,3,"4",12,78,"7801474","1","157.724",7,32002,100018.897435897,76234
846,155,6,12,"5",10,78,"7805289","7","153.547",7,28642,100067.807692308,78308
846,1,6,9,"6",8,78,"7805583","5","154.456",7,25923,100071.576923077,77847
847,18,7,7,"1",25,70,"14679537","1","204.007",13,23511.1666666667,209707.671428571,76956
847,20,7,1,"2",18,70,"14682246","2","203.317",13,23118.6666666667,209746.371428571,77217
847,17,7,4,"3",15,70,"14693365","8","197.300",13,24906,209905.214285714,79572
847,30,7,8,"4",12,70,"14693756","4","198.382",13,23592.25,209910.8,79138
847,808,7,10,"5",10,70,"14699932","3","198.593",13,23980.5,209999.028571429,79054
847,13,7,3,"6",8,70,"14712762","5","198.357",13,24633.5,210182.314285714,79148
847,155,7,13,"7",6,70,"14712807","10","195.723",13,24152.5,210182.957142857,80213
847,153,7,24,"8",4,70,"14715501","13","195.339",13,24748.6666666667,210221.442857143,80371
847,22,7,16,"9",2,70,"14724654","11","195.472",13,24028.5,210352.2,80316
847,67,7,15,"10",1,70,"14726593","7","197.461",13,24782.25,210379.9,79507
847,3,7,6,"11",0,70,"14729991","9","196.070",13,22882,210428.442857143,80071
847,37,7,17,"12",0,70,"14743144","12","195.343",13,27163.5,210616.342857143,80369
848,20,12,1,"1",25,57,"5976169","1","191.536",4,20592.6666666667,104845.070175439,101852
848,4,12,4,"2",18,57,"5987060","2","190.683",4,20721.3333333333,105036.140350877,102308
